goos: darwin
goarch: amd64
pkg: github.com/KEINOS/go-blake3-example
cpu: Intel(R) Core(TM) i5-5257U CPU @ 2.70GHz
BenchmarkAdler_32b-4                          	    8172	    711196 ns/op	       8 B/op	       1 allocs/op
BenchmarkBlake2b_256b-4                       	    4824	   1137152 ns/op	      32 B/op	       1 allocs/op
BenchmarkBlake2b_512b-4                       	    4567	   1476379 ns/op	      64 B/op	       1 allocs/op
BenchmarkBlake3_verLuke_256b-4                	    8462	    637096 ns/op	     256 B/op	       1 allocs/op
BenchmarkBlake3_verLuke_256b_Sum256-4         	   10843	    597171 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlake3_verLuke_512b-4                	    8479	    727335 ns/op	     512 B/op	       1 allocs/op
BenchmarkBlake3_verLuke_512b_Sum512-4         	   10177	    675889 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlake3_verZeebo_256b-4               	   13783	    414413 ns/op	      64 B/op	       2 allocs/op
BenchmarkBlake3_verZeebo_256b_Sum256-4        	   12142	    488146 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlake3_verZeebo_512b-4               	   10892	    588314 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlake3_verZeebo_512b_Sum512-4        	   10094	    562130 ns/op	       0 B/op	       0 allocs/op
BenchmarkMMH3_128b-4                          	   23210	    253229 ns/op	      16 B/op	       1 allocs/op
BenchmarkCRC_32b-4                            	   87654	     71472 ns/op	       8 B/op	       1 allocs/op
BenchmarkFnv1_128b-4                          	    1658	   3659571 ns/op	      16 B/op	       1 allocs/op
BenchmarkFnv1a_128b-4                         	    1767	   3532622 ns/op	      16 B/op	       1 allocs/op
BenchmarkMD5_128b-4                           	    3396	   1807969 ns/op	      16 B/op	       1 allocs/op
BenchmarkSHA1_160b-4                          	    3822	   1362282 ns/op	      24 B/op	       1 allocs/op
BenchmarkSHA_256b-4                           	    1672	   3316440 ns/op	      32 B/op	       1 allocs/op
BenchmarkSHA_512b-4                           	    2646	   2254140 ns/op	      64 B/op	       1 allocs/op
BenchmarkSHA3_256b-4                          	    1396	   3958199 ns/op	     512 B/op	       3 allocs/op
BenchmarkSHA3_512b-4                          	     783	   7036492 ns/op	     576 B/op	       3 allocs/op
BenchmarkWhirlpool_512b-4                     	     178	  35308729 ns/op	      64 B/op	       1 allocs/op
BenchmarkXxhashCespare_8byte_64bit-4          	   66745	     87383 ns/op	       8 B/op	       1 allocs/op
BenchmarkXxhashCespare_8byte_64bit_Sum64-4    	   57160	    105104 ns/op	       0 B/op	       0 allocs/op
BenchmarkXxhashOneOfOne_4byte_32bit-4         	   21585	    292427 ns/op	       8 B/op	       1 allocs/op
BenchmarkXxhashOneOfOne_4byte_32bit_Sum32-4   	   27285	    204041 ns/op	       0 B/op	       0 allocs/op
BenchmarkXxhashOneOfOne_8byte_64bit-4         	   57350	    100863 ns/op	       8 B/op	       1 allocs/op
BenchmarkXxhashOneOfOne_8byte_64bit_Sum64-4   	   65907	    108015 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/KEINOS/go-blake3-example	225.237s
BenchmarkFnv1_128b-4                          	    1753	   3598711 ns/op	      16 B/op	       1 allocs/op
BenchmarkXxhashOneOfOne_4byte_32bit-4         	   18411	    294658 ns/op	       8 B/op	       1 allocs/op
BenchmarkBlake3_verZeebo_512b_Sum512-4        	    8266	    676083 ns/op	       0 B/op	       0 allocs/op
BenchmarkCRC_32b-4                            	   88323	     69203 ns/op	       8 B/op	       1 allocs/op
BenchmarkSHA3_512b-4                          	     876	   7209189 ns/op	     576 B/op	       3 allocs/op
BenchmarkBlake3_verZeebo_256b-4               	   13732	    471561 ns/op	      64 B/op	       2 allocs/op
BenchmarkBlake3_verLuke_512b_Sum512-4         	    9459	    593231 ns/op	       0 B/op	       0 allocs/op
BenchmarkXxhashCespare_8byte_64bit-4          	   68305	     90789 ns/op	       8 B/op	       1 allocs/op
BenchmarkBlake3_verLuke_256b_Sum256-4         	   10000	    606319 ns/op	       0 B/op	       0 allocs/op
BenchmarkMD5_128b-4                           	    3600	   1646125 ns/op	      16 B/op	       1 allocs/op
BenchmarkBlake3_verLuke_256b-4                	   10000	    561464 ns/op	     256 B/op	       1 allocs/op
BenchmarkAdler_32b-4                          	   10000	    526488 ns/op	       8 B/op	       1 allocs/op
BenchmarkSHA3_256b-4                          	    1581	   3952552 ns/op	     512 B/op	       3 allocs/op
BenchmarkMMH3_128b-4                          	   22958	    298525 ns/op	      16 B/op	       1 allocs/op
BenchmarkSHA_256b-4                           	    1746	   3427073 ns/op	      32 B/op	       1 allocs/op
BenchmarkXxhashOneOfOne_4byte_32bit_Sum32-4   	   26899	    209457 ns/op	       0 B/op	       0 allocs/op
BenchmarkBlake3_verLuke_512b-4                	   10000	    543103 ns/op	     512 B/op	       1 allocs/op
BenchmarkXxhashCespare_8byte_64bit_Sum64-4    	   68708	     99931 ns/op	       0 B/op	       0 allocs/op
BenchmarkXxhashOneOfOne_8byte_64bit_Sum64-4   	   55315	    103960 ns/op	       0 B/op	       0 allocs/op
BenchmarkWhirlpool_512b-4                     	     169	  33591953 ns/op	      64 B/op	       1 allocs/op
BenchmarkBlake2b_256b-4                       	    5224	   1316688 ns/op	      32 B/op	       1 allocs/op
BenchmarkBlake3_verZeebo_256b_Sum256-4        	    9415	    599113 ns/op	       0 B/op	       0 allocs/op
BenchmarkXxhashOneOfOne_8byte_64bit-4         	   57034	    123795 ns/op	       8 B/op	       1 allocs/op
BenchmarkBlake2b_512b-4                       	    5215	   1180038 ns/op	      64 B/op	       1 allocs/op
BenchmarkSHA_512b-4                           	    2893	   2230404 ns/op	      64 B/op	       1 allocs/op
BenchmarkBlake3_verZeebo_512b-4               	   10000	    536133 ns/op	       0 B/op	       0 allocs/op
